TimeStep,Probe1_Ez,Probe2_Ez
316,0.125921,0
317,0.129847,0
318,0.124029,0
319,0.108484,0
320,0.0852702,0
321,0.0582246,0
322,0.0320596,0
323,0.0110424,0
324,-0.0022938,0
325,-0.00787802,0
326,-0.00793863,0
327,-0.00600967,0
328,-0.00555878,0
329,-0.00885591,0
330,-0.0165453,0
331,-0.0279879,0
332,-0.042032,0
333,-0.0576803,0
334,-0.074251,0
335,-0.0909971,0
336,-0.106523,0
337,-0.118503,0
338,-0.124035,0
339,-0.12061,0
340,-0.107253,0
341,-0.0852646,0
342,-0.0581486,0
343,-0.0306818,0
344,-0.00750928,0
345,0.00817702,0
346,0.0153888,0
347,0.0153183,0
348,0.0106529,0
349,0.00454438,0
350,-0.000391558,0
351,-0.00273856,0
352,-0.00243072,0
353,-0.000386581,0
354,0.00219703,0
355,0.00457371,0
356,0.00685958,0
357,0.00993928,0
358,0.0149473,0
359,0.0226454,0
360,0.0330605,0
361,0.04555,0
362,0.059155,0
363,0.0729088,0
364,0.0858486,0
365,0.0967666,0
366,0.104011,0
367,0.105668,0
368,0.100202,0
369,0.0872506,0
370,0.0681035,0
371,0.045535,0
372,0.0230276,0
373,0.0037656,0
374,-0.0101562,0
375,-0.0180673,0
376,-0.0206468,0
377,-0.019633,0
378,-0.0174538,0
379,-0.016769,0
380,-0.0198721,0
381,-0.0280244,0
382,-0.0409723,0
383,-0.0569396,0
384,-0.0731884,0
385,-0.086924,0
386,-0.0960984,0
387,-0.0997368,0
388,-0.0977216,0
389,-0.090316,0
390,-0.0778434,0
391,-0.0607717,0
392,-0.0401196,0
393,-0.0178336,0
394,0.00323568,0
395,0.0199031,0
396,0.0295843,0
397,0.0311959,0
398,0.0256081,0
399,0.0154279,0
400,0.00417534,6.28917e-94
401,-0.00483275,1.28054e-91
402,-0.0094663,1.31631e-89
403,-0.00926368,9.11831e-88
404,-0.00525694,4.79448e-86
405,0.000738049,2.04371e-84
406,0.00702262,7.36619e-83
407,0.0127031,2.31204e-81
408,0.0178933,6.45867e-80
409,0.0234133,1.6329e-78
410,0.0302025,3.78594e-77
411,0.0387595,8.13475e-76
412,0.0488449,1.63351e-74
413,0.0595083,3.08617e-73
414,0.0693425,5.51511e-72
415,0.0768151,9.36165e-71
416,0.0805678,1.51445e-69
417,0.0796452,2.34097e-68
418,0.0736586,3.46476e-67
419,0.0628855,4.91828e-66
420,0.0482853,6.7052e-65
421,0.0314072,8.78969e-64
422,0.0141821,1.10901e-62
423,-0.00138408,1.348e-61
424,-0.0135821,1.57978e-60
425,-0.0213799,1.78643e-59
426,-0.024723,1.95064e-58
427,-0.0246355,2.05811e-57
428,-0.0230172,2.09966e-56
429,-0.0221284,2.07252e-55
430,-0.023897,1.98057e-54
431,-0.029304,1.8335e-53
432,-0.0380979,1.64525e-52
433,-0.0489439,1.4318e-51
434,-0.059904,1.20915e-50
435,-0.069001,9.91413e-50
436,-0.074631,7.89647e-49
437,-0.0757371,6.11274e-48
438,-0.0718185,4.60126e-47
439,-0.0629153,3.36949e-46
440,-0.0496431,2.4016e-45
441,-0.0332267,1.6668e-44
442,-0.0154229,1.12694e-43
443,0.00173298,7.42568e-43
444,0.0162962,4.77061e-42
445,0.0267582,2.98942e-41
446,0.0322436,1.82787e-40
447,0.0325433,1.09097e-39
